pert_iname,n_cell_lines,cell_lines,n_total_signatures
BRD-K55878534,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K56450018,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K57420195,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K57954781,7,"['A375', 'A549', 'HA1E', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K59341874,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K59253994,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K61102260,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K60796852,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K61753121,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K63423329,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K62919978,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K63158888,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K63923428,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K63455741,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K64062072,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K65085267,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K65426421,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K65526065,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K66658536,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
JTC-801,7,"['A549', 'ASC', 'HT29', 'MCF7', 'PC3', 'SKB', 'VCAP']",8
BRD-K67498554,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K68190084,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K69075782,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K69894866,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K69500068,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K70900504,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K70669970,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K70697816,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K72343629,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K73008154,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K73276569,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K74316684,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K74085580,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K74436011,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K74461819,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K75514176,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K75264577,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K76264608,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K77681376,7,"['A375', 'A549', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3']",9
BRD-K98710661,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K78018080,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K98062050,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K97318829,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K97114030,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",13
BRD-K96697180,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K96703623,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K96552587,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K91701366,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K81408913,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K91461129,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K78843060,7,"['A375', 'A549', 'HCC515', 'HT29', 'MCF7', 'PC3', 'VCAP']",13
BRD-K96041907,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K95582125,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K95285735,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K95047050,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K79511609,7,"['A375', 'A549', 'HA1E', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K94740841,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K79793579,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K80579245,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K80779790,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K92993117,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K81210389,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K92543914,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K91946056,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K92038420,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",10
BRD-K91663486,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K86048057,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-K86149906,7,"['A375', 'A549', 'HT29', 'MCF7', 'NEU', 'NPC', 'PC3']",12
BRD-A93048969,7,"['A375', 'A549', 'HA1E', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-A73929928,7,"['A375', 'A549', 'HA1E', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-A11512624,7,"['A375', 'HCC515', 'HEPG2', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
vindesine,7,"['A375', 'A549', 'HA1E', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
zeranol,7,"['A375', 'A549', 'HA1E', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
zalcitabine,7,"['A375', 'A549', 'HA1E', 'HT29', 'MCF7', 'PC3', 'VCAP']",15
BRD-K00586388,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
AZD-8330,6,"['BT20', 'HS578T', 'MCF10A', 'MCF7', 'MDAMB231', 'SKBR3']",48
BRD-K00185670,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
AZD-5438,6,"['BT20', 'HS578T', 'MCF10A', 'MCF7', 'MDAMB231', 'SKBR3']",48
BRD-K00643888,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K01404579,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K01389427,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K01329157,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K92000256,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K91850687,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K81496150,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K81461172,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K81440797,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K00179355,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BMS-509744,6,"['BT20', 'HS578T', 'MCF10A', 'MCF7', 'MDAMB231', 'SKBR3']",48
BMS-387032,6,"['BT20', 'HS578T', 'MCF10A', 'MCF7', 'MDAMB231', 'SKBR3']",43
BRD-K00069117,6,"['A549', 'HEPG2', 'HT29', 'HUH7', 'PHH', 'VCAP']",16
BRD-K00458136,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K02008913,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K01971712,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K00819343,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K01822243,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K02314198,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K92455082,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K92364610,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K02248910,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K02109522,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K01055635,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K01739339,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K02055666,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K02515288,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K02490064,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",14
BRD-K02460212,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K02418197,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K02917242,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K02593152,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",9
trametinib,6,"['BT20', 'HS578T', 'MCF10A', 'MCF7', 'MDAMB231', 'SKBR3']",48
BRD-K03235359,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K86780816,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K92884627,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K92865756,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K92795064,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K92740670,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K86755654,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K86728684,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K86621086,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K03262953,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K03261284,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K03245321,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
tivantinib,6,"['BT20', 'HS578T', 'MCF10A', 'MCF7', 'MDAMB231', 'SKBR3']",48
BRD-K86303874,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K04229162,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K03568952,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K03463440,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K03448064,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K05232104,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K05211263,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K05150608,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K93303857,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K81164606,6,"['A549', 'HEPG2', 'HT29', 'HUH7', 'PHH', 'VCAP']",16
BRD-K03725349,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K03707297,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K03669312,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K04326190,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K05415698,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K05351800,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K04745699,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K04701379,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K04574057,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K04411796,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K06064877,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K06039860,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",12
BRD-K05967016,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K05912972,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",9
BRD-K80954162,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K80848452,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K80496944,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K80686274,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K93107794,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K05856102,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K04832618,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
tegaserod,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",10
BRD-K05543055,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K06314140,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K06187854,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K93406156,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K93880770,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K06161868,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K06145650,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K06083657,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K06619089,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K05647501,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K06470746,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K06891569,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K06884091,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K06780475,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K07064094,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K07060092,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K07039703,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K07026322,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K07008972,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K08221563,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K07270511,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K07269289,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K07164057,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K93672499,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K80622828,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K80398603,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K80278608,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K93577185,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K07100440,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K85322309,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
rondual-kinase-inhibitor,6,"['BT20', 'HS578T', 'MCF10A', 'MCF7', 'MDAMB231', 'SKBR3']",48
BRD-K08446710,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K07881060,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K08616215,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K09054764,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K94029810,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K93994036,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K93971021,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K79797751,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K79788021,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K79768170,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K79732306,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",10
BRD-K93852877,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K09031632,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K08198655,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K08061170,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K08041211,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K08014780,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K09388341,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K09292709,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K09203309,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K08325197,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K08856690,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K09542523,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K09517037,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K94222931,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K80223377,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K94809766,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K80092909,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K09458434,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K10008415,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",10
BRD-K09019812,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K08922114,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K08891029,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K10323659,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K10170503,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K10839108,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K11366122,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K11746559,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K79489641,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K94501123,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K11628545,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",9
BRD-K11604106,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K10482608,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K12411600,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K12402761,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K12388484,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K12365616,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K12345237,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K11483659,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K12189280,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
ponatinib,6,"['BT20', 'HS578T', 'MCF10A', 'MCF7', 'MDAMB231', 'SKBR3']",48
BRD-K12655851,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",9
BRD-K12575545,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K79260832,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K79260617,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K79199685,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K95392673,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K95361366,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",9
BRD-K94585132,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",9
BRD-K94575695,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K12559526,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K12484704,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K12117859,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K12744202,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K13308287,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K87426959,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K85144746,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K13757679,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K13693445,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K13969067,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K95570609,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",9
BRD-K95567178,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K95551268,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",11
BRD-K95154332,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K14206468,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K14502067,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K13346599,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K14078057,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K14363876,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",10
BRD-K14758616,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K13883913,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
BRD-K14340046,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",6
BRD-K14302652,6,"['A375', 'A549', 'HT29', 'MCF7', 'PC3', 'VCAP']",7
